Link,Price,District,Type of Home,Building Name,Guest,Bedroom,Bathroom
https://www.luxstay.com//rooms/30837,127.0,Ba Đình,Condominium, Vinhomes Metropolis,8,3,2
https://www.luxstay.com//rooms/37324,79.0,Ba Đình,Condominium, Vinhomes Metropolis,4,2,2
https://www.luxstay.com//rooms/37438,71.0,Ba Đình,Condominium, Vinhomes Metropolis,5,2,2
https://www.luxstay.com//rooms/29329,83.0,Ba Đình,Condominium, Vinhomes Metropolis,4,2,2
https://www.luxstay.com//rooms/37441,71.0,Ba Đình,Condominium,None,4,2,2
https://www.luxstay.com//rooms/25907,88.0,Ba Đình,Studio Apartment, Vinhomes Metropolis,2,1,1
https://www.luxstay.com//rooms/33308,43.0,Hai Bà Trưng,Condominium, Chung cư Sun Grand City Ancora Residence,5,2,2
https://www.luxstay.com//rooms/14832,44.0,Hai Bà Trưng,Condominium, Vinhomes Times City,3,1,1
https://www.luxstay.com//rooms/38431,53.0,Tây Hồ,Service Apartment,None,3,1,1
https://www.luxstay.com//rooms/37188,57.0,Nam Từ Liêm,Condominium, Vinhomes SkyLake,4,2,2
https://www.luxstay.com//rooms/40850,53.0,Sóc Sơn,Studio Apartment,None,4,1,1
https://www.luxstay.com//rooms/38894,41.0,Ba Đình,Condominium,None,7,3,2
https://www.luxstay.com//rooms/40280,45.0,Ba Đình,Condominium,None,4,2,2
https://www.luxstay.com//rooms/11457,61.0,Đống Đa,Condominium, Vinhomes Nguyễn Chí Thanh,7,3,2
https://www.luxstay.com//rooms/13300,51.0,Hai Bà Trưng,Condominium,None,6,2,2
https://www.luxstay.com//rooms/41238,50.0,Nam Từ Liêm,Condominium, Vinhomes SkyLake,4,2,2
https://www.luxstay.com//rooms/35204,42.0,Tây Hồ,Service Apartment,None,5,1,1
https://www.luxstay.com//rooms/25544,44.0,Tây Hồ,Service Apartment,None,6,2,2
https://www.luxstay.com//rooms/33372,19.0,Đống Đa,Service Apartment,None,2,1,1
https://www.luxstay.com//rooms/27992,37.0,Hoàn Kiếm,Service Apartment,None,2,1,1
https://www.luxstay.com//rooms/33463,14.0,Cầu Giấy,Condominium,  Nam Trung Yên,2,1,1
https://www.luxstay.com//rooms/12040,54.0,Thanh Xuân,Condominium, Imperia Garden,5,2,2
https://www.luxstay.com//rooms/32462,48.0,Tây Hồ,Condominium,None,6,3,2
