Link,Type,Price,Address,Description
https://www.luxstay.com//rooms/30837,"
        Condominium
         · Vinhomes Metropolis", $127/night ,"Ba Đình, Hà Nội, Vietnam",8 guests · 3 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/37324,"
        Condominium
         · Vinhomes Metropolis", $79/night $83,"Ba Đình, Hà Nội, Vietnam",4 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/37438,"
        Condominium
         · Vinhomes Metropolis", $71/night $78,"Ba Đình, Hà Nội, Vietnam",5 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/29329,"
        Condominium
         · Vinhomes Metropolis", $83/night $87,"Ba Đình, Hà Nội, Vietnam",4 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/37441,"
        Condominium
        ", $71/night $79,"Ba Đình, Hà Nội, Vietnam",4 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/25907,"
        Studio Apartment
         · Vinhomes Metropolis", $88/night ,"Ba Đình, Hà Nội, Vietnam",2 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/33308,"
        Condominium
         · Chung cư Sun Grand City Ancora Residence ", $43/night ,"Hai Bà Trưng, Hà Nội, Vietnam",5 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/14832,"
        Condominium
         · Vinhomes Times City", $44/night ,"Hai Bà Trưng, Hà Nội, Vietnam",3 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/38431,"
        Service Apartment
        ", $53/night ,"Tây Hồ, Hà Nội, Vietnam",3 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/37188,"
        Condominium
         · Vinhomes SkyLake", $57/night ,"Nam Từ Liêm, Hà Nội, Vietnam",4 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/40850,"
        Studio Apartment
        ", $53/night ,"Sóc Sơn, Hà Nội, Vietnam",4 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/38894,"
        Condominium
        ", $41/night ,"Ba Đình, Hà Nội, Vietnam",7 guests · 3 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/40280,"
        Condominium
        ", $45/night ,"Ba Đình, Hà Nội, Vietnam",4 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/11457,"
        Condominium
         · Vinhomes Nguyễn Chí Thanh", $61/night $67,"Đống Đa, Hà Nội, Vietnam",7 guests · 3 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/13300,"
        Condominium
        ", $51/night ,"Hai Bà Trưng, Hà Nội, Vietnam",6 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/41238,"
        Condominium
         · Vinhomes SkyLake", $50/night ,"Nam Từ Liêm, Hà Nội, Vietnam",4 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/35204,"
        Service Apartment
        ", $42/night ,"Tây Hồ, Hà Nội, Vietnam",5 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/25544,"
        Service Apartment
        ", $44/night ,"Tây Hồ, Hà Nội, Vietnam",6 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/33372,"
        Service Apartment
        ", $19/night $24,"Đống Đa, Hà Nội, Vietnam",2 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/27992,"
        Service Apartment
        ", $37/night $61,"Hoàn Kiếm, Hà Nội, Vietnam",2 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/33463,"
        Condominium
         ·  Nam Trung Yên", $14/night ,"Cầu Giấy, Hà Nội, Vietnam",2 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/12040,"
        Condominium
         · Imperia Garden", $54/night ,"Thanh Xuân, Hà Nội, Vietnam",5 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/32462,"
        Condominium
        ", $48/night ,"Tây Hồ, Hà Nội, Vietnam",6 guests · 3 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/29801,"
        Condominium
        ", $54/night ,"Nam Từ Liêm, Hà Nội, Vietnam",6 guests · 2 Bedrooms · 1 bathroom
https://www.luxstay.com//rooms/21153,"
        Condominium
         · Chung cư The Artemis", $42/night ,"Thanh Xuân, Hà Nội, Vietnam",6 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/13330,"
        Condominium
        ", $59/night ,"Cầu Giấy, Hà Nội, Vietnam",3 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/34892,"
        Entire House
        ", $13/night ,"Hoàn Kiếm, Hà Nội, Vietnam",3 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/31436,"
        Studio Apartment
        ", $32/night ,"Nam Từ Liêm, Hà Nội, Vietnam",2 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/27649,"
        Condominium
         · Vinhomes SkyLake", $48/night ,"Nam Từ Liêm, Hà Nội, Vietnam",2 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/35557,"
        Condominium
        ", $40/night ,"Long Biên, Hà Nội, Vietnam",6 guests · 2 Bedrooms · 2 bathrooms
https://www.luxstay.com//rooms/20465,"
        Condominium
         · Vinhomes Times City", $47/night ,"Hai Bà Trưng, Hà Nội, Vietnam",2 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/31435,"
        Studio Apartment
        ", $32/night ,"Nam Từ Liêm, Hà Nội, Vietnam",2 guests · 1 Bedroom · 1 bathroom
https://www.luxstay.com//rooms/35227,"
        Condominium
        ", $39/night ,"Nam Từ Liêm, Hà Nội, Vietnam",4 guests · 2 Bedrooms · 2 bathrooms
